Trilha,Identificador,Idade,Formação,Formação Geral,Formação Específica,Porcentagem Graduação,Tempo de Formado,Experiencia em Programação
tic18Py,5996,27,2,0,Eng quimica,82.0,,True
tic18Py,5996,27,2,0,Engenharia química ,81.0,,True
